"publishedDate","cveNumber","cveUrl","name","platform","family","impactId","impact","severityId","severity","knowledgeBaseId","knowledgeBaseUrl","monthlyKnowledgeBaseId","monthlyKnowledgeBaseUrl","downloadUrl","downloadTitle","monthlyDownloadUrl","monthlyDownloadTitle","articleTitle1","articleUrl1","downloadTitle1","downloadUrl1","doesRowOneHaveAtLeastOneArticleOrUrl","articleTitle2","articleUrl2","downloadTitle2","downloadUrl2","doesRowTwoHaveAtLeastOneArticleOrUrl","articleTitle3","articleUrl3","downloadTitle3","downloadUrl3","doesRowThreeHaveAtLeastOneArticleOrUr","articleTitle4","articleUrl4","downloadTitle4","downloadUrl4","doesRowFourHaveAtLeastOneArticleOrUrl","countOfRowsWithAtLeastOneArticleOrUrl"
"2020-07-14T07:00:00Z","CVE-2020-1147","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1147","Microsoft SharePoint Enterprise Server 2013 Service Pack 1","","Microsoft Office","100000005","Remote Code Execution","100000000","Critical","","","","","","","","","4484443","https://support.microsoft.com/kb/4484443","Security Update","https://www.microsoft.com/downloads/details.aspx?familyid=b7b48aa3-7d66-48a1-8b0a-f665724e7d5a","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1147","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1147","Microsoft SharePoint Server 2019","","Microsoft Office","100000005","Remote Code Execution","100000000","Critical","","","","","","","","","4484453","https://support.microsoft.com/kb/4484453","Security Update","https://www.microsoft.com/downloads/details.aspx?familyid=f19e809b-213a-4915-a441-00c66ef9678a","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1147","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1147","Microsoft SharePoint Server 2010 Service Pack 2","","Microsoft Office","100000005","Remote Code Execution","100000000","Critical","","","","","","","","","4484460","https://support.microsoft.com/kb/4484460","Security Update","https://www.microsoft.com/downloads/details.aspx?familyid=b4e4a624-a324-45ea-ad72-86c73dd1b457","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1025","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1025","Skype for Business Server 2019  CU2","","Microsoft Office","100000002","Elevation of Privilege","100000000","Critical","","","","","","","","","4571332","https://support.microsoft.com/help/4571332","Security Update","https://www.microsoft.com/downloads/details.aspx?familyid=dac7c777-fe8a-45a2-9a82-07a2e15c298f","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1025","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1025","Skype for Business Server 2015 CU 8","","Microsoft Office","100000002","Elevation of Privilege","100000000","Critical","","","","","","","","","4571333","https://support.microsoft.com/help/4571333","Security Update","https://www.microsoft.com/downloads/details.aspx?familyid=0d08ed37-106a-456f-a5c6-61df22588bec","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1025","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1025","Microsoft Lync Server 2013","","Microsoft Office","100000002","Elevation of Privilege","100000000","Critical","","","","","","","","","4571334","https://support.microsoft.com/help/4571334","Security Update","https://www.microsoft.com/downloads/details.aspx?familyid=dac7c777-fe8a-45a2-9a82-07a2e15c298f","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1240","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1240","Microsoft 365 Apps for Enterprise for 32-bit Systems","","Microsoft Office","100000005","Remote Code Execution","100000001","Important","","","","","","","","","Click to Run","https://docs.microsoft.com/en-us/officeupdates/office365-proplus-security-updates","Security Update","","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1240","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1240","Microsoft 365 Apps for Enterprise for 64-bit Systems","","Microsoft Office","100000005","Remote Code Execution","100000001","Important","","","","","","","","","Click to Run","https://docs.microsoft.com/en-us/officeupdates/office365-proplus-security-updates","Security Update","","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1803 for 32-bit Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565489","https://support.microsoft.com/help/4565489","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565489","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1803 for x64-based Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565489","https://support.microsoft.com/help/4565489","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565489","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1803 for ARM64-based Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565489","https://support.microsoft.com/help/4565489","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565489","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1809 for 32-bit Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4558998","https://support.microsoft.com/help/4558998","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4558998","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1809 for x64-based Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4558998","https://support.microsoft.com/help/4558998","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4558998","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1809 for ARM64-based Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4558998","https://support.microsoft.com/help/4558998","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4558998","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows Server 2019","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4558998","https://support.microsoft.com/help/4558998","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4558998","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows Server 2019  (Server Core installation)","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4558998","https://support.microsoft.com/help/4558998","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4558998","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1909 for 32-bit Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565483","https://support.microsoft.com/help/4565483","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565483","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1909 for x64-based Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565483","https://support.microsoft.com/help/4565483","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565483","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1909 for ARM64-based Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565483","https://support.microsoft.com/help/4565483","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565483","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows Server, version 1909 (Server Core installation)","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565483","https://support.microsoft.com/help/4565483","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565483","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1709 for 32-bit Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565508","https://support.microsoft.com/help/4565508","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565508","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1709 for x64-based Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565508","https://support.microsoft.com/help/4565508","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565508","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1709 for ARM64-based Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565508","https://support.microsoft.com/help/4565508","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565508","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1903 for 32-bit Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565483","https://support.microsoft.com/help/4565483","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565483","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1903 for x64-based Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565483","https://support.microsoft.com/help/4565483","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565483","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1903 for ARM64-based Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565483","https://support.microsoft.com/help/4565483","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565483","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows Server, version 1903 (Server Core installation)","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565483","https://support.microsoft.com/help/4565483","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565483","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 for 32-bit Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565513","https://support.microsoft.com/help/4565513","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565513","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 for x64-based Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565513","https://support.microsoft.com/help/4565513","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565513","1","","","","","0","","","","","0","","","","","0","1"
"2020-07-14T07:00:00Z","CVE-2020-1249","https://portal.msrc.microsoft.com/zh-CN/security-guidance/advisory/CVE-2020-1249","Windows 10 Version 1607 for 32-bit Systems","","Windows","100000002","Elevation of Privilege","100000001","Important","","","","","","","","","4565511","https://support.microsoft.com/help/4565511","Security Update","https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4565511","1","","","","","0","","","","","0","","","","","0","1"
